Prop_lost,median1,median2,median3,median4,median5,median6
0.09862,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09939,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10015,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10092,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10168,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10245,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10321,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10398,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10474,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.1055,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10627,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10703,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10818,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10894,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.10971,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.11047,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.11124,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.112,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.11277,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.11353,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.1143,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.11506,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.11621,0.81575,0.8405,0.778,0.88675,0.8135,0.819
0.11697,0.81575,0.8405,0.778,0.88675,0.8135,0.819
0.11774,0.81575,0.8405,0.778,0.88675,0.8135,0.819
0.1185,0.8155,0.8405,0.778,0.88675,0.8135,0.819
0.11927,0.81525,0.8405,0.778,0.88675,0.8135,0.819
0.12003,0.81475,0.8405,0.778,0.88675,0.8135,0.819
0.12118,0.8145,0.8405,0.778,0.88675,0.8135,0.819
0.12194,0.81425,0.8405,0.778,0.88675,0.8135,0.819
0.12309,0.81375,0.8405,0.778,0.88675,0.8135,0.819
0.12385,0.81375,0.8405,0.778,0.88675,0.8135,0.819
0.125,0.81375,0.8405,0.778,0.88675,0.8135,0.819
0.12576,0.81375,0.8405,0.778,0.88675,0.8135,0.819
0.12691,0.81375,0.8405,0.778,0.88675,0.8135,0.819
0.12806,0.8135,0.8405,0.778,0.88675,0.8135,0.819
0.12882,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.12997,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13073,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13188,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13265,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13341,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13417,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13494,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.1357,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13685,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13761,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13838,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.13953,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14029,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14106,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14182,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14258,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14373,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.1445,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14526,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14602,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14717,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14794,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.1487,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.14985,0.81325,0.8405,0.778,0.88675,0.8135,0.819
0.15061,0.813,0.8405,0.778,0.88675,0.8135,0.819
0.15176,0.813,0.84025,0.778,0.88675,0.8135,0.819
0.15252,0.813,0.84025,0.778,0.88675,0.8135,0.819
0.15367,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.15443,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.15558,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.15635,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.15749,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.15826,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.1594,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.16017,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.16131,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.16208,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.16323,0.81275,0.84025,0.778,0.88675,0.8135,0.819
