Prop_lost,median1,median2
0.4526,0.75175,0.7685
0.45375,0.75175,0.7685
0.45489,0.75175,0.7685
0.45566,0.75175,0.76775
0.4568,0.75175,0.76725
0.45795,0.75175,0.7665
0.4591,0.75175,0.766
0.46024,0.75175,0.766
0.46139,0.75175,0.76575
0.46254,0.75175,0.7655
0.46369,0.75175,0.765
0.46483,0.75175,0.76475
0.46598,0.75175,0.7635
0.46713,0.75175,0.76275
0.46827,0.7515,0.7625
0.46942,0.75125,0.762
0.47057,0.751,0.761
0.47171,0.75075,0.76
0.47248,0.75075,0.7585
0.47362,0.75075,0.758
0.47477,0.7505,0.75725
0.47592,0.7505,0.7565
0.47706,0.7505,0.756
0.47821,0.7505,0.75575
0.47936,0.7505,0.75525
0.4805,0.7505,0.75475
0.48165,0.7505,0.75425
0.48242,0.75025,0.754
0.48356,0.75,0.754
0.48471,0.74925,0.754
0.48586,0.74875,0.75375
0.487,0.748,0.753
0.48815,0.74725,0.753
0.4893,0.7465,0.75225
0.49044,0.7455,0.75175
0.49159,0.7445,0.75125
0.49235,0.74375,0.75075
0.4935,0.74275,0.75
0.49465,0.742,0.7495
0.4958,0.74075,0.7495
0.49694,0.74,0.74925
0.49809,0.7385,0.74925
0.49924,0.73775,0.749
0.50038,0.7365,0.7485
0.50153,0.73575,0.74725
0.50268,0.73475,0.74675
0.50382,0.734,0.7465
0.50497,0.73325,0.74625
0.50612,0.73275,0.7455
0.50726,0.732,0.745
0.50841,0.73125,0.7445
0.50956,0.73075,0.74325
0.5107,0.73025,0.74275
0.51185,0.7295,0.74225
0.513,0.729,0.742
0.51414,0.72825,0.7415
0.51529,0.72775,0.74125
0.51644,0.72725,0.741
0.51758,0.72675,0.7405
0.51873,0.72675,0.73975
0.51988,0.72675,0.73925
0.52102,0.72675,0.7385
0.52217,0.7265,0.738
0.52332,0.7265,0.73775
0.52446,0.72625,0.7375
0.52561,0.726,0.737
0.52676,0.726,0.73625
0.52791,0.72575,0.73575
0.52905,0.72575,0.73525
0.5302,0.7255,0.73525
0.53135,0.72525,0.735
0.53211,0.725,0.73475
0.53326,0.72475,0.73425
0.5344,0.7245,0.73375
0.53555,0.724,0.73375
0.5367,0.723,0.733
0.53784,0.722,0.73275
0.53899,0.721,0.73225
0.54014,0.71975,0.732
0.54128,0.71875,0.73175
0.54243,0.7175,0.7315
0.54396,0.7165,0.731
0.54511,0.71525,0.7305
0.54625,0.714,0.73025
0.5474,0.71325,0.73
0.54855,0.71275,0.7295
0.54969,0.71225,0.72875
0.55084,0.7115,0.72775
0.55199,0.711,0.72675
0.55313,0.71025,0.7255
0.55428,0.70975,0.72475
0.55543,0.70925,0.72375
0.55657,0.7085,0.7225
0.55772,0.70775,0.7205
0.55887,0.70725,0.71925
0.56002,0.707,0.719
0.56116,0.7065,0.719
0.56231,0.70575,0.719
0.56346,0.70475,0.71875
0.5646,0.70375,0.71825
0.56575,0.70325,0.71775
0.5669,0.703,0.717
0.56804,0.7025,0.71675
0.56919,0.702,0.71625
0.57034,0.70175,0.71575
0.57148,0.70125,0.71525
0.57263,0.70075,0.71425
0.57378,0.7005,0.71325
0.57492,0.7,0.71175
0.57607,0.699,0.7105
0.57722,0.69825,0.70925
0.57836,0.6975,0.7085
0.57951,0.69675,0.70725
0.58066,0.696,0.7065
0.5818,0.6955,0.70575
0.58295,0.69475,0.70525
0.5841,0.6935,0.70475
0.58524,0.6925,0.704
0.58639,0.691,0.70375
0.58754,0.689,0.70375
0.58907,0.6875,0.70375
0.59021,0.68625,0.70375
0.59136,0.68475,0.7035
