"pr_rem" "variant" "value"
93.558 "global2000" 99.9827115041188
93.499 "global2000" 99.9824413713707
93.437 "global2000" 99.98239716783
93.376 "global2000" 99.9822694687127
93.313 "global2000" 99.9821368580909
93.264 "global2000" 99.9818421678201
93.223 "global2000" 99.9811840262157
93.174 "global2000" 99.9795337606998
93.131 "global2000" 99.9790131412214
93.085 "global2000" 99.9780946898777
93.038 "global2000" 99.9772204420747
92.987 "global2000" 99.9752361942519
92.936 "global2000" 99.9738953535203
92.883 "global2000" 99.973163539348
92.836 "global2000" 99.9719553092381
92.787 "global2000" 99.9713413711741
92.74 "global2000" 99.9702019021275
92.7 "global2000" 99.9696567251266
92.653 "global2000" 99.9686154861702
92.608 "global2000" 99.9680162826198
92.561 "global2000" 99.9669357516271
92.513 "global2000" 99.9663414595812
92.461 "global2000" 99.9653346011563
92.418 "global2000" 99.9646027869841
92.367 "global2000" 99.963728539181
92.319 "global2000" 99.9629967250088
92.269 "global2000" 99.9625252205757
92.216 "global2000" 99.9620242471154
92.169 "global2000" 99.9616509727726
92.118 "global2000" 99.9611057957718
92.072 "global2000" 99.9607079639063
92.023 "global2000" 99.9598042470762
91.975 "global2000" 99.9589250877685
91.926 "global2000" 99.9581245125332
91.879 "global2000" 99.957441813406
91.831 "global2000" 99.9566657956932
91.782 "global2000" 99.9561058841789
91.735 "global2000" 99.9553838930157
91.685 "global2000" 99.9551334062855
91.636 "global2000" 99.9545833177802
91.587 "global2000" 99.9541363708696
91.541 "global2000" 99.9538122115718
91.494 "global2000" 99.9535568133372
91.446 "global2000" 99.953198273508
91.399 "global2000" 99.9528397336786
91.355 "global2000" 99.9523534947319
91.31 "global2000" 99.9521275655243
91.267 "global2000" 99.9519261938394
91.225 "global2000" 99.9515971230371
91.182 "global2000" 99.9514153973701
91.138 "global2000" 99.9511747336491
91.098 "global2000" 99.9509880964776
91.056 "global2000" 99.9507474327566
91.015 "global2000" 99.9504183619543
90.971 "global2000" 99.9500745566384
90.93 "global2000" 99.949627609728
90.895 "global2000" 99.9485225212128
90.855 "global2000" 99.9479773442119
90.806 "global2000" 99.9459194238216
90.758 "global2000" 99.943561901656
90.702 "global2000" 99.9378792909359
90.658 "global2000" 99.9350797333642
90.581 "global2000" 99.9277615916418
90.44 "global2000" 99.9277615916418
90.324 "global2000" 99.9262095562161
90.218 "global2000" 99.9247361048625
90.117 "global2000" 99.9233068570496
90.034 "global2000" 99.9222017685346
89.965 "global2000" 99.9214453968397
89.873 "global2000" 99.9201389366396
89.786 "global2000" 99.9186212817455
89.684 "global2000" 99.9168531401212
89.578 "global2000" 99.9147362816767
89.478 "global2000" 99.9125555736735
89.377 "global2000" 99.9107677860313
89.267 "global2000" 99.9084937594423
89.166 "global2000" 99.9064358390519
89.076 "global2000" 99.9045252637969
88.986 "global2000" 99.9025508389831
88.891 "global2000" 99.9004045115116
88.794 "global2000" 99.8978063256248
88.707 "global2000" 99.8955765025765
88.617 "global2000" 99.8929537591673
88.522 "global2000" 99.8904095998302
88.428 "global2000" 99.8878801750067
88.329 "global2000" 99.8851248209756
88.229 "global2000" 99.8821582722505
88.137 "global2000" 99.8794323872466
88.045 "global2000" 99.8761711482508
87.953 "global2000" 99.8728951747415
87.858 "global2000" 99.8693883605201
87.756 "global2000" 99.8653953073521
87.66 "global2000" 99.8616920329503
87.568 "global2000" 99.8580182275755
87.473 "global2000" 99.8541725195428
87.38 "global2000" 99.8507835814298
87.28 "global2000" 99.8465203955136
87.174 "global2000" 99.8418544662275
87.063 "global2000" 99.8368496431301
86.943 "global2000" 99.8317760589695
86.794 "global2000" 99.8268252624217
86.638 "global2000" 99.8224294658836
86.528 "global2000" 99.8186672534277
86.434 "global2000" 99.8144040675116
86.331 "global2000" 99.8103717223074
86.243 "global2000" 99.8069827841944
86.148 "global2000" 99.8032058372249
86.047 "global2000" 99.7986970760831
85.944 "global2000" 99.7945812353023
85.836 "global2000" 99.7897679608809
85.733 "global2000" 99.7849890669909
85.621 "global2000" 99.7796257040641
85.51 "global2000" 99.7741935800742
85.401 "global2000" 99.7690512348504
85.287 "global2000" 99.7637664559958
