Prop_lost,curr,fut
0.04778,0.914,0.82075
0.04855,0.914,0.82075
0.04931,0.914,0.82075
0.05046,0.914,0.82075
0.05122,0.914,0.82075
0.05199,0.914,0.82075
0.05275,0.914,0.82075
0.05352,0.914,0.82075
0.05428,0.914,0.82075
0.05505,0.914,0.82075
0.05581,0.914,0.82075
0.05696,0.914,0.82075
0.05772,0.914,0.82075
0.05849,0.914,0.82075
0.05925,0.914,0.82075
0.0604,0.914,0.82075
0.06116,0.914,0.82075
0.06193,0.914,0.82075
0.06269,0.914,0.8205
0.06346,0.914,0.8205
0.06422,0.914,0.8205
0.06498,0.914,0.8205
0.06575,0.914,0.8205
0.06651,0.914,0.8205
0.06728,0.914,0.8205
0.06804,0.914,0.8205
0.06881,0.914,0.82025
0.06957,0.914,0.82025
0.07034,0.914,0.82025
0.0711,0.914,0.82025
0.07187,0.914,0.82025
0.07263,0.914,0.82025
0.07339,0.914,0.82025
0.07416,0.914,0.82025
0.07492,0.914,0.82025
0.07569,0.914,0.82025
0.07645,0.914,0.82025
0.07722,0.914,0.82025
0.07836,0.914,0.82025
0.07913,0.914,0.82025
0.07989,0.914,0.82025
0.08066,0.914,0.82025
0.08142,0.914,0.82
0.08219,0.914,0.82
0.08295,0.914,0.82
0.08372,0.914,0.82
0.08448,0.914,0.82
0.08524,0.914,0.82
0.08601,0.914,0.82
0.08677,0.914,0.82
0.08754,0.914,0.82
0.0883,0.914,0.82
0.08907,0.914,0.82
0.08983,0.914,0.82
0.0906,0.914,0.82
0.09136,0.914,0.82
0.09213,0.914,0.82
0.09289,0.914,0.82
0.09365,0.914,0.82
0.09442,0.914,0.82
0.0948,0.914,0.82
0.09557,0.914,0.81975
0.09633,0.914,0.81975
0.09709,0.914,0.81975
0.09786,0.914,0.81975
0.09862,0.914,0.81975
0.09977,0.914,0.81975
0.10092,0.914,0.8195
0.10168,0.914,0.81925
0.10283,0.914,0.819
0.10359,0.914,0.819
0.10474,0.914,0.819
0.1055,0.914,0.819
0.10665,0.9135,0.819
0.10742,0.9135,0.819
0.10818,0.9135,0.81875
0.10894,0.9135,0.81875
0.10971,0.9135,0.81875
0.11086,0.9135,0.81825
0.11162,0.9135,0.81825
0.11239,0.9135,0.81825
0.11315,0.9135,0.818
0.11391,0.9135,0.818
0.11468,0.913,0.818
0.11544,0.913,0.818
0.11621,0.9125,0.818
0.11697,0.9125,0.818
0.11812,0.9125,0.8175
0.11888,0.9125,0.8175
0.11965,0.9125,0.8175
0.12041,0.9125,0.8175
0.12156,0.9125,0.8175
0.12232,0.9125,0.8175
0.12309,0.9125,0.8175
0.12424,0.9125,0.8175
0.125,0.9125,0.81725
0.12576,0.9125,0.817
0.12691,0.9125,0.817
0.12768,0.9125,0.81675
0.12882,0.9125,0.81675
0.12959,0.912,0.81675
0.13073,0.912,0.81675
0.1315,0.912,0.81675
0.13226,0.912,0.81675
0.13341,0.912,0.81675
0.13417,0.912,0.81675
0.13494,0.912,0.81675
0.13609,0.912,0.81675
0.13685,0.912,0.81675
0.13761,0.912,0.81675
0.13876,0.912,0.81675
0.13953,0.912,0.81675
0.14067,0.912,0.8165
0.14144,0.912,0.8165
0.14258,0.912,0.8165
0.14335,0.912,0.8165
0.14411,0.912,0.8165
0.14526,0.912,0.8165
0.14602,0.912,0.8165
0.14717,0.912,0.8165
0.14794,0.912,0.8165
0.1487,0.912,0.8165
0.14985,0.912,0.8165
0.15061,0.9115,0.8165
0.15138,0.9115,0.8165
0.15214,0.911,0.81625
0.15291,0.911,0.81625
0.15367,0.911,0.81625
0.15482,0.911,0.81625
0.15558,0.911,0.81625
0.15635,0.911,0.81625
0.15749,0.911,0.81625
0.15826,0.911,0.81625
0.15902,0.911,0.81625
0.16017,0.911,0.81625
0.16093,0.911,0.81625
0.1617,0.911,0.81625
0.16284,0.911,0.81575
0.16361,0.911,0.81575
0.16437,0.911,0.81575
0.16552,0.911,0.81575
0.16628,0.911,0.8155
0.16743,0.911,0.8155
0.1682,0.911,0.8155
0.16896,0.911,0.8155
0.17011,0.911,0.8155
0.17087,0.911,0.8155
0.17202,0.911,0.8155
0.17278,0.911,0.8155
0.17393,0.911,0.8155
0.17469,0.911,0.8155
0.17584,0.911,0.8155
0.17661,0.911,0.8155
0.17737,0.911,0.8155
0.17852,0.911,0.81525
0.17928,0.911,0.81475
0.18043,0.911,0.81475
0.18119,0.9105,0.81475
0.18234,0.9105,0.81475
0.18349,0.9105,0.81475
0.18425,0.9105,0.8145
0.1854,0.9105,0.81425
0.18616,0.9105,0.81375
0.18693,0.9105,0.81375
0.18769,0.9105,0.81375
0.18846,0.9105,0.81375
0.18922,0.9105,0.81375
0.18998,0.9105,0.81325
0.19075,0.9105,0.81225
0.19151,0.9105,0.812
0.19228,0.9105,0.8115
0.19304,0.9105,0.8115
0.19419,0.9105,0.8115
0.19495,0.9105,0.8115
0.1961,0.9105,0.8115
0.19687,0.9105,0.8115
0.19801,0.91,0.8115
0.19916,0.91,0.8115
0.19992,0.91,0.8115
0.20107,0.91,0.8115
0.20183,0.91,0.8115
0.20298,0.91,0.8115
0.20375,0.91,0.8115
0.20489,0.91,0.8115
0.20566,0.91,0.8115
0.20642,0.91,0.8115
0.20757,0.91,0.8115
0.20833,0.91,0.81125
0.20948,0.91,0.81075
0.21024,0.91,0.81075
0.21101,0.91,0.81075
0.21216,0.91,0.81075
0.21292,0.91,0.81075
0.21407,0.91,0.81075
0.21483,0.91,0.81075
0.21598,0.9095,0.81075
0.21674,0.9095,0.81075
0.21751,0.9095,0.8105
0.21865,0.9095,0.81025
0.21942,0.9095,0.81025
0.22057,0.9095,0.81025
0.22133,0.9095,0.81025
0.22248,0.9095,0.81025
0.22324,0.9095,0.81025
0.22439,0.9095,0.81025
0.22515,0.9095,0.81
0.2263,0.9095,0.81
0.22706,0.9095,0.80975
0.22783,0.9095,0.80975
0.22898,0.9095,0.80975
0.22974,0.909,0.80975
0.23089,0.909,0.80925
0.23165,0.909,0.80925
0.2328,0.909,0.80925
0.23356,0.9085,0.809
0.23471,0.9085,0.8085
0.23547,0.9085,0.8085
0.23662,0.9085,0.8085
0.23739,0.908,0.808
0.23853,0.908,0.8075
0.2393,0.9075,0.80675
0.24044,0.907,0.80625
0.24121,0.9065,0.80625
0.24235,0.906,0.80625
0.24312,0.906,0.80625
0.24427,0.906,0.80625
0.24503,0.9055,0.80575
0.24618,0.9055,0.80575
0.24732,0.9055,0.80575
0.24809,0.9055,0.80575
0.24924,0.9055,0.80575
0.25,0.905,0.80575
0.25115,0.905,0.80575
0.25191,0.9045,0.80575
0.25306,0.9045,0.8055
0.2542,0.904,0.80525
0.25497,0.9035,0.80525
0.25612,0.9035,0.80525
0.25688,0.9035,0.80525
0.25803,0.9035,0.80525
0.25917,0.903,0.80525
0.25994,0.903,0.80525
0.26109,0.903,0.80525
0.26185,0.903,0.80525
0.263,0.903,0.80525
0.26376,0.902,0.80525
0.26491,0.902,0.80525
0.26567,0.902,0.80525
0.26644,0.902,0.80525
0.26758,0.902,0.80525
0.26835,0.902,0.80525
0.2695,0.902,0.805
0.27026,0.902,0.805
0.27141,0.902,0.805
0.27217,0.902,0.80475
0.27332,0.902,0.80475
0.27408,0.902,0.8045
0.27523,0.902,0.80425
0.27599,0.902,0.80425
0.27714,0.902,0.80425
0.27791,0.902,0.80425
0.27867,0.902,0.80425
0.27982,0.9015,0.80425
0.28058,0.9015,0.80425
0.28173,0.9015,0.80425
0.28249,0.901,0.80425
0.28364,0.9005,0.804
0.2844,0.9005,0.804
0.28555,0.9005,0.804
0.28631,0.9005,0.804
0.28746,0.9005,0.804
0.28823,0.9,0.804
0.28937,0.9,0.804
0.29014,0.9,0.80375
0.29128,0.9,0.80375
0.29205,0.9,0.8035
0.29281,0.9,0.8035
0.29396,0.9,0.80325
0.29472,0.9,0.80325
0.29587,0.9,0.80325
0.29664,0.9,0.80325
0.29778,0.9,0.803
0.29855,0.9,0.803
0.29969,0.9,0.803
0.30084,0.9,0.80275
0.30161,0.9,0.80225
0.30275,0.9,0.80225
0.3039,0.9,0.80225
0.30466,0.9,0.802
0.30581,0.9,0.802
0.30657,0.8995,0.802
0.30772,0.8995,0.802
0.30887,0.899,0.80175
0.30963,0.8985,0.80175
0.31078,0.8985,0.80175
0.31193,0.898,0.80175
0.31269,0.898,0.80175
0.31384,0.898,0.80175
0.31498,0.898,0.8015
0.31575,0.898,0.8015
0.3169,0.8975,0.8015
0.31804,0.8975,0.8015
0.31881,0.8975,0.8015
0.31995,0.8975,0.801
0.3211,0.8975,0.80075
0.32225,0.8975,0.80025
0.32301,0.8975,0.80025
0.32416,0.8975,0.80025
0.32531,0.8975,0.80025
0.32607,0.8975,0.80025
0.32722,0.8975,0.80025
0.32798,0.897,0.80025
0.32913,0.897,0.79975
0.33028,0.897,0.79925
0.33104,0.897,0.799
0.33219,0.897,0.7985
0.33295,0.897,0.7985
0.3341,0.897,0.7985
0.33486,0.897,0.7985
0.33601,0.897,0.7985
0.33677,0.897,0.7985
0.33792,0.897,0.7985
0.33869,0.8965,0.7985
0.33983,0.896,0.7985
0.34098,0.896,0.7985
0.34174,0.896,0.7985
0.34289,0.8955,0.7985
0.34365,0.895,0.79825
0.3448,0.895,0.79775
0.34557,0.8945,0.7975
0.34671,0.8945,0.7975
0.34748,0.8945,0.79725
0.34862,0.8945,0.79675
0.34977,0.8945,0.7965
0.35054,0.8945,0.7965
0.35168,0.8945,0.79625
0.35245,0.894,0.79575
0.35359,0.894,0.7955
0.35436,0.894,0.795
0.3555,0.894,0.79475
0.35665,0.8935,0.79475
0.35742,0.8935,0.79475
0.35856,0.893,0.794
0.35933,0.893,0.79275
0.36047,0.893,0.79225
0.36162,0.893,0.79175
0.36239,0.893,0.79075
0.36353,0.893,0.7905
0.3643,0.893,0.7905
0.36544,0.893,0.7905
0.36659,0.893,0.78925
0.36735,0.893,0.78925
0.3685,0.893,0.789
0.36965,0.8925,0.78725
0.37041,0.892,0.786
0.37156,0.892,0.78525
0.37271,0.892,0.78475
0.37347,0.892,0.7845
0.37462,0.892,0.7845
0.37576,0.892,0.78425
0.37653,0.892,0.78425
0.37768,0.892,0.78425
0.37882,0.892,0.78375
0.37997,0.892,0.78325
0.38112,0.8915,0.7825
0.38226,0.8915,0.782
0.38341,0.891,0.78175
0.38456,0.891,0.78175
0.38532,0.8905,0.7815
0.38647,0.89,0.78125
0.38761,0.8895,0.781
0.38876,0.8895,0.7805
0.38991,0.889,0.78025
0.39106,0.889,0.78025
0.3922,0.8885,0.78025
0.39335,0.8885,0.78
0.3945,0.8885,0.78
0.39564,0.888,0.78
0.39679,0.888,0.78
0.39755,0.887,0.78
0.3987,0.887,0.78
0.39985,0.887,0.77975
0.40099,0.887,0.7795
0.40214,0.887,0.7795
0.40329,0.887,0.7795
0.40443,0.887,0.77925
0.40558,0.8865,0.77875
0.40673,0.8865,0.77825
0.40787,0.886,0.77825
0.40902,0.886,0.778
0.40979,0.886,0.778
0.41093,0.886,0.77725
0.41208,0.886,0.77675
0.41323,0.886,0.7765
0.41437,0.886,0.77625
0.41552,0.8855,0.776
0.41667,0.885,0.776
0.41781,0.8845,0.776
0.41896,0.8845,0.776
0.42011,0.8845,0.776
0.42125,0.8845,0.7755
0.4224,0.8845,0.77525
0.42355,0.8845,0.77525
0.42431,0.884,0.7745
0.42546,0.8835,0.774
0.42661,0.8835,0.77375
0.42775,0.8825,0.7735
0.4289,0.882,0.77325
0.43005,0.882,0.773
0.43119,0.882,0.773
0.43234,0.8815,0.77275
0.43349,0.881,0.77275
0.43463,0.881,0.77275
0.43578,0.881,0.7715
0.43693,0.881,0.77125
0.43807,0.8795,0.77
0.43922,0.879,0.769
0.44037,0.879,0.76725
0.44151,0.8785,0.766
0.44266,0.8785,0.76575
0.44343,0.8785,0.7655
0.44457,0.877,0.7655
0.44572,0.877,0.7655
0.44687,0.877,0.7655
0.44801,0.877,0.7655
0.44916,0.877,0.765
0.45031,0.8765,0.76475
0.45145,0.876,0.76425
0.45222,0.876,0.76425
0.45336,0.8755,0.76375
0.45451,0.8755,0.763
0.45566,0.8755,0.762
0.4568,0.8755,0.7615
0.45795,0.875,0.7615
0.45872,0.875,0.7615
0.45986,0.875,0.76125
0.46101,0.875,0.76125
0.46216,0.8745,0.76125
0.4633,0.8745,0.7605
0.46445,0.8745,0.75925
0.4656,0.874,0.75775
0.46674,0.874,0.75675
0.46789,0.874,0.7565
0.46904,0.873,0.75625
0.47018,0.873,0.755
0.47133,0.8725,0.7545
0.47248,0.872,0.75375
0.47362,0.872,0.7535
0.47477,0.8715,0.7535
0.47592,0.871,0.75325
0.47706,0.87,0.75275
0.47821,0.8695,0.75225
0.47936,0.8695,0.752
0.48012,0.869,0.752
0.48127,0.8685,0.7515
0.48242,0.868,0.75025
0.48356,0.8675,0.74925
0.48471,0.8675,0.749
0.48586,0.8675,0.7485
0.487,0.867,0.74775
0.48815,0.867,0.747
0.4893,0.866,0.7465
0.49044,0.8645,0.746
0.49159,0.864,0.74575
0.49274,0.8635,0.74575
0.49388,0.863,0.74575
0.49503,0.8625,0.74575
0.49618,0.8625,0.745
0.49732,0.8625,0.74375
0.49847,0.8615,0.7425
0.49962,0.861,0.7415
0.50076,0.861,0.741
0.50191,0.8605,0.741
0.50306,0.8605,0.7405
0.5042,0.86,0.7395
0.50535,0.859,0.73875
0.5065,0.859,0.7385
0.50765,0.859,0.7375
0.50879,0.858,0.737
0.50994,0.8565,0.73675
0.51109,0.856,0.7355
0.51223,0.8555,0.73475
0.51338,0.855,0.7345
0.51453,0.8535,0.734
0.51567,0.852,0.733
0.51682,0.85,0.73225
0.51797,0.8475,0.73175
0.51911,0.847,0.73175
0.52026,0.8465,0.7315
0.52141,0.846,0.7315
0.52255,0.846,0.731
0.5237,0.846,0.731
0.52485,0.8455,0.73075
0.52599,0.843,0.73025
0.52714,0.842,0.73
0.52829,0.8415,0.73
0.52943,0.84,0.72975
0.53058,0.839,0.72925
0.53211,0.8375,0.729
0.53326,0.837,0.72825
0.5344,0.8345,0.7275
0.53555,0.834,0.727
0.5367,0.8325,0.72625
0.53784,0.832,0.726
0.53899,0.831,0.72575
0.54014,0.8305,0.7255
0.54128,0.8285,0.72525
0.54243,0.827,0.72425
0.54358,0.825,0.72425
0.54472,0.8235,0.7235
0.54587,0.822,0.723
0.54702,0.821,0.72275
0.54855,0.819,0.72225
0.54969,0.818,0.7215
0.55046,0.818,0.72075
0.55161,0.818,0.72
0.55275,0.818,0.719
0.5539,0.818,0.71725
0.55505,0.817,0.71625
0.55619,0.8165,0.71575
0.55734,0.816,0.71575
0.55849,0.8155,0.71575
0.55963,0.815,0.71575
0.56078,0.814,0.7155
0.56193,0.8135,0.71525
0.56307,0.8135,0.71475
0.56422,0.8135,0.714
0.56537,0.8135,0.71375
0.56651,0.8135,0.713
0.56766,0.813,0.71175
0.56881,0.8125,0.7105
0.56995,0.812,0.70925
0.5711,0.812,0.70875
0.57263,0.811,0.70775
0.57378,0.8095,0.70725
0.57492,0.8095,0.70675
0.57607,0.8095,0.70625
0.57722,0.8075,0.706
0.57836,0.807,0.7055
0.57951,0.807,0.70475
0.58066,0.807,0.704
0.5818,0.807,0.703
0.58295,0.806,0.70275
0.5841,0.8055,0.7025
0.58524,0.8045,0.70225
0.58677,0.804,0.702
0.58792,0.803,0.7015
0.58907,0.803,0.701
0.59021,0.803,0.69925
0.59136,0.803,0.6975
0.59251,0.8025,0.69675
0.59365,0.8025,0.694
0.5948,0.801,0.69225
0.59595,0.8,0.69
0.59709,0.799,0.68825
0.59862,0.7985,0.68675
0.59977,0.7985,0.68525
0.60092,0.7985,0.68475
0.60206,0.7975,0.684
0.60321,0.797,0.68325
0.60436,0.7955,0.68225
0.6055,0.795,0.6815
0.60665,0.794,0.681
0.6078,0.7925,0.6805
0.60894,0.7905,0.68
0.61009,0.7885,0.679
0.61124,0.787,0.67825
0.61239,0.786,0.677
0.61353,0.7845,0.676
0.61468,0.784,0.675
0.61621,0.784,0.6745
0.61735,0.7825,0.67375
0.6185,0.781,0.673
0.61965,0.781,0.67225
0.6208,0.781,0.67175
0.62194,0.78,0.6705
0.62309,0.779,0.6695
0.62424,0.778,0.669
0.62538,0.7775,0.668
0.62653,0.7775,0.66725
0.62768,0.7755,0.6665
0.62882,0.773,0.66625
0.62997,0.772,0.66525
0.63112,0.7715,0.66525
0.63226,0.7705,0.665
0.63341,0.77,0.66475
0.63456,0.769,0.664
0.6357,0.768,0.66275
0.63685,0.7675,0.6625
0.638,0.7655,0.6625
0.63953,0.764,0.662
0.64067,0.761,0.66175
0.64182,0.7595,0.66075
0.64297,0.758,0.66025
0.64411,0.755,0.65925
0.64526,0.753,0.6585
0.64641,0.7505,0.6555
0.64755,0.748,0.65475
0.6487,0.746,0.653
0.64985,0.7445,0.65275
0.65099,0.744,0.6525
0.65214,0.742,0.6525
0.65329,0.7405,0.65225
0.65482,0.74,0.6515
0.65596,0.7395,0.6505
0.65711,0.7395,0.65
0.65826,0.739,0.64925
0.6594,0.737,0.64825
0.66055,0.7355,0.64775
0.6617,0.735,0.6465
0.66284,0.734,0.64575
0.66399,0.734,0.64425
0.66514,0.734,0.643
0.66628,0.7325,0.64125
0.66743,0.7315,0.64025
0.66858,0.73,0.64025
0.66972,0.728,0.63925
0.67087,0.7265,0.638
0.67202,0.7245,0.6365
0.67317,0.7235,0.6355
0.67431,0.722,0.6335
0.67546,0.7205,0.63075
0.67661,0.718,0.62875
0.67775,0.7165,0.62775
0.6789,0.7155,0.627
0.68005,0.714,0.6255
0.68119,0.7125,0.62475
0.68234,0.711,0.624
0.68349,0.71,0.62225
0.68463,0.709,0.62075
0.68578,0.708,0.6195
0.68693,0.7065,0.61775
0.68807,0.7035,0.61625
0.68922,0.7005,0.61525
0.69075,0.6975,0.615
0.6919,0.696,0.61425
0.69304,0.6945,0.614
0.69419,0.6935,0.613
0.69534,0.692,0.61225
0.69648,0.6915,0.6105
0.69763,0.6905,0.60975
0.69878,0.689,0.60875
0.69992,0.687,0.607
0.70107,0.686,0.6055
0.70222,0.685,0.6035
0.70336,0.6845,0.6025
0.70451,0.684,0.60225
0.70566,0.6835,0.6015
0.7068,0.683,0.6005
0.70795,0.6825,0.59875
0.7091,0.682,0.59625
0.71024,0.681,0.5935
0.71139,0.6795,0.59175
0.71254,0.678,0.58925
0.71369,0.6765,0.58775
0.71483,0.6755,0.585
0.71598,0.6725,0.58275
0.71713,0.6715,0.5805
0.71827,0.671,0.579
0.71942,0.6695,0.57775
0.72057,0.6675,0.57625
0.72171,0.661,0.57525
0.72286,0.66,0.57475
0.72401,0.6595,0.574
0.72515,0.659,0.57325
0.7263,0.6575,0.57125
0.72745,0.6555,0.569
0.72859,0.6525,0.56675
0.72974,0.6505,0.56575
0.73089,0.65,0.56525
0.73242,0.648,0.5645
0.73356,0.647,0.5625
0.73471,0.645,0.56025
0.73586,0.643,0.5575
0.737,0.642,0.55475
0.73815,0.64,0.55175
0.7393,0.6325,0.5495
0.74044,0.6285,0.54625
0.74159,0.6265,0.5425
0.74274,0.625,0.54075
0.74388,0.624,0.5385
0.74503,0.6215,0.5365
0.74618,0.619,0.53475
0.74732,0.615,0.53175
0.74885,0.613,0.529
0.75,0.611,0.52625
0.75115,0.608,0.52325
0.75229,0.605,0.52
0.75344,0.6035,0.51775
0.75459,0.6015,0.51525
0.75573,0.599,0.513
0.75688,0.595,0.51175
0.75803,0.592,0.51075
0.75917,0.5855,0.5095
0.76032,0.5825,0.5065
0.76147,0.58,0.50475
0.76261,0.576,0.50325
0.76376,0.573,0.50225
0.76491,0.5695,0.50025
0.76606,0.566,0.49675
0.7672,0.563,0.49375
0.76835,0.5615,0.4905
0.76988,0.558,0.4885
0.77102,0.554,0.48475
0.77217,0.5525,0.4815
0.77332,0.55,0.47825
0.77446,0.5475,0.47675
0.77561,0.546,0.47525
0.77676,0.545,0.47325
0.77791,0.543,0.471
0.77905,0.5395,0.46975
0.7802,0.533,0.4665
0.78135,0.531,0.46475
0.78249,0.5295,0.462
0.78364,0.529,0.45875
0.78479,0.5275,0.45525
0.78593,0.524,0.4525
0.78708,0.5195,0.4505
0.78823,0.516,0.448
0.78937,0.512,0.44525
0.79052,0.5085,0.444
0.79167,0.505,0.4425
0.7932,0.5015,0.44
0.79434,0.4975,0.43775
0.79549,0.493,0.4345
0.79664,0.4895,0.43025
0.79778,0.4855,0.42575
0.79893,0.482,0.42125
0.80008,0.4785,0.41825
0.80122,0.4745,0.41375
0.80237,0.4715,0.40875
0.80352,0.4675,0.40425
0.80466,0.464,0.401
0.80581,0.46,0.3965
0.80696,0.4565,0.392
0.8081,0.4525,0.3905
0.80925,0.4475,0.38775
0.8104,0.4435,0.38575
0.81154,0.439,0.382
0.81269,0.434,0.381
0.81384,0.4295,0.37925
0.81537,0.4285,0.377
0.81651,0.427,0.37475
0.81766,0.424,0.37275
0.81881,0.418,0.36925
0.81995,0.415,0.3665
0.8211,0.412,0.364
0.82225,0.41,0.36025
0.82339,0.405,0.35525
0.82454,0.4,0.352
0.82569,0.394,0.3505
0.82683,0.3895,0.34725
0.82798,0.386,0.34375
0.82913,0.383,0.3385
0.83028,0.3805,0.33325
0.83142,0.3775,0.329
0.83257,0.3715,0.32425
0.83372,0.3675,0.3205
0.83486,0.362,0.3165
0.83601,0.3575,0.31375
0.83716,0.351,0.3115
0.8383,0.3405,0.30775
0.83945,0.3345,0.30375
0.8406,0.3285,0.301
0.84174,0.3225,0.29875
0.84289,0.3145,0.2955
0.84404,0.31,0.292
0.84518,0.3055,0.286
0.84633,0.3,0.27975
0.84748,0.2955,0.274
0.84862,0.291,0.26775
0.84977,0.285,0.263
0.85092,0.28,0.25675
0.85206,0.275,0.25475
0.85321,0.2715,0.25025
0.85436,0.2645,0.24625
0.8555,0.2585,0.24225
0.85665,0.2535,0.23825
0.85818,0.2495,0.23475
0.85933,0.242,0.23
0.86047,0.235,0.2245
0.86162,0.23,0.21875
0.86277,0.2255,0.21225
0.86391,0.2195,0.20625
0.86506,0.215,0.203
0.86621,0.211,0.198
0.86735,0.205,0.19375
0.8685,0.1985,0.18875
0.86965,0.196,0.18575
0.8708,0.194,0.18025
0.87194,0.191,0.177
0.87309,0.186,0.17375
0.87424,0.184,0.17025
0.87538,0.1795,0.165
0.87691,0.1765,0.16025
0.87806,0.173,0.1555
0.8792,0.17,0.15075
0.88035,0.1625,0.1465
0.8815,0.158,0.14025
0.88265,0.1495,0.13625
0.88379,0.141,0.13175
0.88494,0.1315,0.1265
0.88609,0.124,0.119
0.88723,0.1165,0.1095
0.88838,0.103,0.09675
0.88914,0.103,0.09675
0.88953,0.103,0.09675
0.88991,0.103,0.09675
0.89029,0.103,0.09675
0.89067,0.103,0.09675
0.89106,0.103,0.09675
0.89144,0.103,0.09675
0.89144,0.103,0.09675
0.89182,0.103,0.09675
0.8922,0.103,0.09675
0.89258,0.103,0.09675
0.89297,0.103,0.09675
0.89335,0.103,0.09675
0.89373,0.103,0.09675
0.8945,0.103,0.09675
0.89488,0.103,0.09675
0.89526,0.103,0.09675
0.89526,0.103,0.09675
0.89564,0.103,0.09675
0.89602,0.103,0.09675
0.89641,0.103,0.09675
0.89679,0.103,0.09675
0.89717,0.103,0.0965
0.89755,0.103,0.0965
0.89832,0.103,0.09625
0.8987,0.103,0.096
0.89946,0.103,0.096
0.90023,0.103,0.096
0.90061,0.103,0.096
0.90138,0.103,0.096
0.90214,0.103,0.096
0.90291,0.103,0.09575
0.90329,0.103,0.09575
0.90367,0.103,0.09575
0.90443,0.1025,0.09575
0.90482,0.1025,0.09575
0.90558,0.102,0.0955
0.90635,0.102,0.09525
0.90673,0.102,0.095
0.90749,0.102,0.095
0.90826,0.102,0.095
0.9094,0.102,0.095
0.91017,0.102,0.095
0.91093,0.102,0.095
0.9117,0.102,0.095
0.91208,0.1015,0.095
0.91284,0.101,0.095
0.91361,0.101,0.0945
0.91437,0.1,0.09425
0.91514,0.1,0.09375
0.9159,0.1,0.0935
0.91667,0.1,0.0935
0.91743,0.1,0.09325
0.9182,0.1,0.09325
0.91896,0.1,0.09325
0.92011,0.1,0.093
0.92087,0.1,0.0925
0.92164,0.1,0.0925
0.9224,0.1,0.0925
0.92317,0.099,0.0925
0.92431,0.099,0.09225
0.92508,0.099,0.09225
0.92584,0.0985,0.0915
0.92699,0.098,0.09125
0.92775,0.098,0.091
0.9289,0.0975,0.091
0.92966,0.097,0.0905
0.93043,0.097,0.09
0.93157,0.097,0.09
0.93234,0.097,0.0895
0.93349,0.097,0.089
0.93463,0.097,0.08875
0.93578,0.0955,0.08875
0.93693,0.0955,0.08875
0.93807,0.095,0.08875
0.93922,0.0945,0.08825
0.94037,0.094,0.088
0.94151,0.093,0.088
0.94266,0.093,0.088
0.94381,0.092,0.087
0.94495,0.092,0.0865
0.9461,0.091,0.0855
0.94725,0.0905,0.0845
0.94839,0.09,0.08375
0.94954,0.089,0.08275
0.95107,0.088,0.082
0.95222,0.088,0.0815
0.95336,0.087,0.0805
0.95451,0.085,0.08
0.95566,0.084,0.07875
0.9568,0.083,0.0775
0.95833,0.0825,0.0765
0.95948,0.081,0.07525
0.96063,0.08,0.074
0.96177,0.0785,0.0725
0.96292,0.078,0.071
0.96445,0.0775,0.07025
0.9656,0.076,0.06875
0.96674,0.075,0.0675
0.96789,0.074,0.067
0.96942,0.072,0.066
0.97057,0.071,0.0645
0.97171,0.07,0.06325
0.97286,0.069,0.062
0.97439,0.0675,0.061
0.97554,0.0655,0.0585
0.97668,0.064,0.05775
0.97821,0.062,0.05575
0.97936,0.061,0.053
0.9805,0.06,0.051
0.98203,0.056,0.0485
0.98318,0.0535,0.0465
