Prop_lost,median1,median2,median3,median4,median5,median6
0.13341,0.923,0.9145,0.918,0.9335,0.85,0.925
0.13417,0.923,0.9145,0.918,0.9335,0.85,0.925
0.13494,0.923,0.9145,0.918,0.9335,0.85,0.925
0.13609,0.923,0.9145,0.918,0.9335,0.85,0.925
0.13685,0.923,0.9145,0.918,0.9335,0.85,0.925
0.13761,0.923,0.9145,0.918,0.9335,0.85,0.925
0.13876,0.9225,0.9145,0.918,0.9335,0.85,0.925
0.13953,0.9225,0.9145,0.918,0.9335,0.85,0.925
0.14067,0.922,0.9145,0.918,0.9335,0.85,0.925
0.14144,0.922,0.9145,0.918,0.9335,0.85,0.925
0.14258,0.9215,0.9145,0.918,0.9335,0.85,0.925
0.14335,0.9215,0.9145,0.918,0.9335,0.85,0.925
0.14411,0.9215,0.9145,0.918,0.9335,0.85,0.925
0.14526,0.9205,0.9145,0.918,0.9335,0.85,0.925
0.14602,0.92,0.9145,0.918,0.9335,0.85,0.925
0.14717,0.9195,0.9145,0.918,0.9335,0.85,0.925
0.14794,0.9195,0.9145,0.918,0.9335,0.85,0.925
0.1487,0.9195,0.9145,0.918,0.9335,0.85,0.925
0.14985,0.9195,0.9145,0.918,0.9335,0.85,0.925
0.15061,0.9195,0.9145,0.918,0.9335,0.85,0.925
0.15138,0.9195,0.9145,0.918,0.9335,0.85,0.925
0.15214,0.9195,0.9145,0.918,0.9335,0.85,0.9245
0.15291,0.9195,0.9145,0.918,0.9335,0.85,0.9245
0.15367,0.9195,0.9145,0.918,0.9335,0.85,0.9245
0.15482,0.9195,0.9145,0.918,0.9335,0.85,0.9245
0.15558,0.9195,0.9145,0.918,0.9335,0.85,0.9245
0.15635,0.9195,0.9145,0.918,0.9335,0.85,0.9245
0.15749,0.919,0.9145,0.918,0.9335,0.85,0.9245
0.15826,0.9185,0.9145,0.918,0.9335,0.85,0.9245
0.15902,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.16017,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.16093,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.1617,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.16284,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.16361,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.16437,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.16552,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.16628,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.16743,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.1682,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.16896,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.17011,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.17087,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.17202,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.17278,0.918,0.9145,0.918,0.9335,0.85,0.9245
0.17393,0.9175,0.9145,0.918,0.9335,0.85,0.9245
0.17469,0.9165,0.9145,0.918,0.9335,0.85,0.9245
0.17584,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.17661,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.17737,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.17852,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.17928,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18043,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18119,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18234,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18349,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18425,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.1854,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18616,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18693,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18769,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18846,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18922,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.18998,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.19075,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.19151,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.19228,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.19304,0.9155,0.9145,0.918,0.9335,0.85,0.9245
0.19419,0.9155,0.914,0.918,0.9335,0.85,0.9245
0.19495,0.9145,0.914,0.918,0.9335,0.85,0.9245
0.1961,0.914,0.914,0.918,0.9335,0.85,0.9245
0.19687,0.913,0.914,0.918,0.9335,0.85,0.9245
0.19801,0.913,0.914,0.918,0.9335,0.85,0.9245
0.19916,0.913,0.914,0.918,0.9335,0.85,0.9245
0.19992,0.913,0.914,0.918,0.9335,0.85,0.9245
0.20107,0.913,0.914,0.918,0.9335,0.85,0.9245
0.20183,0.913,0.914,0.918,0.9335,0.85,0.9245
0.20298,0.913,0.9135,0.918,0.9335,0.85,0.9245
0.20375,0.913,0.9135,0.918,0.9335,0.85,0.9245
0.20489,0.913,0.9135,0.918,0.9335,0.85,0.9245
0.20566,0.913,0.9135,0.918,0.9335,0.85,0.9245
0.20642,0.913,0.9135,0.918,0.9335,0.85,0.9245
0.20757,0.913,0.9135,0.918,0.9335,0.85,0.9245
0.20833,0.913,0.913,0.918,0.9335,0.85,0.9245
0.20948,0.913,0.913,0.918,0.9335,0.85,0.9245
0.21024,0.913,0.913,0.918,0.9335,0.85,0.9245
0.21101,0.913,0.913,0.918,0.9335,0.85,0.9245
0.21216,0.913,0.913,0.918,0.9335,0.85,0.9245
0.21292,0.913,0.913,0.918,0.9335,0.85,0.9245
0.21407,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.21483,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.21598,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.21674,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.21751,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.21865,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.21942,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.22057,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.22133,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.22248,0.9125,0.913,0.918,0.9335,0.85,0.9245
0.22324,0.912,0.913,0.918,0.9335,0.85,0.9245
0.22439,0.912,0.913,0.918,0.9335,0.85,0.9245
0.22515,0.912,0.913,0.918,0.9335,0.85,0.9245
0.2263,0.912,0.913,0.918,0.9335,0.85,0.9245
0.22706,0.912,0.913,0.918,0.9335,0.85,0.9245
0.22783,0.912,0.913,0.918,0.9335,0.85,0.9245
0.22898,0.912,0.913,0.918,0.9335,0.85,0.9245
0.22974,0.912,0.913,0.918,0.9335,0.85,0.9245
0.23089,0.912,0.913,0.918,0.9335,0.85,0.9245
0.23165,0.912,0.913,0.918,0.9335,0.85,0.9245
0.2328,0.912,0.913,0.918,0.9335,0.85,0.9245
0.23356,0.912,0.913,0.918,0.9335,0.85,0.9245
0.23471,0.912,0.913,0.918,0.9335,0.85,0.9245
0.23547,0.911,0.913,0.918,0.9335,0.85,0.9245
0.23662,0.91,0.913,0.918,0.9335,0.85,0.9245
0.23739,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.23853,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.2393,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24044,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24121,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24235,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24312,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24427,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24503,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24618,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24732,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24809,0.9095,0.9125,0.918,0.9335,0.85,0.9245
0.24924,0.9095,0.9125,0.917,0.9335,0.85,0.9245
0.25,0.9095,0.9125,0.917,0.9335,0.85,0.9245
0.25115,0.9095,0.9125,0.917,0.9335,0.85,0.9245
0.25191,0.9095,0.9125,0.917,0.9335,0.85,0.9245
0.25306,0.9095,0.9125,0.917,0.9335,0.85,0.9245
0.2542,0.9095,0.9125,0.917,0.9335,0.85,0.9245
0.25497,0.9095,0.9125,0.917,0.9335,0.85,0.9245
0.25612,0.9095,0.9125,0.917,0.9335,0.85,0.9245
0.25688,0.9095,0.912,0.916,0.9335,0.85,0.9245
0.25803,0.9095,0.912,0.915,0.9335,0.85,0.9245
0.25917,0.9095,0.912,0.915,0.9335,0.85,0.9245
0.25994,0.9095,0.9115,0.915,0.9335,0.85,0.9245
0.26109,0.9085,0.9115,0.915,0.9335,0.85,0.9245
0.26185,0.908,0.9115,0.915,0.9335,0.85,0.9245
0.263,0.9065,0.9115,0.915,0.9335,0.85,0.9245
0.26376,0.9055,0.9115,0.915,0.9335,0.85,0.9245
0.26491,0.905,0.911,0.915,0.9335,0.85,0.9245
0.26567,0.905,0.911,0.915,0.9335,0.85,0.9245
0.26644,0.905,0.911,0.915,0.9335,0.85,0.9245
0.26758,0.905,0.911,0.915,0.9335,0.85,0.9245
0.26835,0.905,0.9105,0.915,0.9335,0.85,0.9245
0.2695,0.905,0.9105,0.915,0.9335,0.85,0.9245
0.27026,0.905,0.91,0.915,0.9335,0.85,0.9245
0.27141,0.905,0.91,0.915,0.9335,0.85,0.9245
0.27217,0.905,0.9095,0.915,0.9335,0.85,0.9245
0.27332,0.905,0.9095,0.915,0.9335,0.85,0.9245
0.27408,0.905,0.9095,0.915,0.9335,0.85,0.9245
0.27523,0.904,0.9095,0.915,0.9335,0.85,0.9245
0.27599,0.9035,0.9095,0.915,0.9335,0.85,0.9245
0.27714,0.9025,0.9095,0.915,0.9335,0.85,0.9245
0.27791,0.9015,0.9095,0.915,0.9335,0.85,0.9245
0.27867,0.901,0.909,0.915,0.9335,0.85,0.9245
0.27982,0.9,0.909,0.915,0.9335,0.85,0.9245
0.28058,0.9,0.909,0.915,0.9335,0.85,0.9245
0.28173,0.9,0.909,0.915,0.9335,0.85,0.9245
0.28249,0.9,0.909,0.915,0.9335,0.85,0.9245
0.28364,0.9,0.909,0.915,0.9335,0.85,0.9245
0.2844,0.9,0.909,0.915,0.9335,0.85,0.9245
0.28555,0.9,0.909,0.915,0.9335,0.85,0.9245
0.28631,0.9,0.909,0.914,0.9335,0.85,0.9245
0.28746,0.9,0.909,0.914,0.9335,0.85,0.9245
0.28823,0.9,0.909,0.914,0.9335,0.85,0.9245
0.28937,0.9,0.909,0.914,0.9335,0.85,0.9245
0.29014,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29128,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29205,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29281,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29396,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29472,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29587,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29664,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29778,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29855,0.8995,0.909,0.914,0.9335,0.85,0.9245
0.29969,0.899,0.909,0.914,0.9335,0.85,0.9245
0.30084,0.899,0.909,0.914,0.9335,0.85,0.9245
0.30161,0.899,0.909,0.914,0.9335,0.85,0.9245
0.30275,0.899,0.909,0.914,0.9335,0.85,0.9245
0.3039,0.899,0.909,0.914,0.9335,0.85,0.9245
0.30466,0.899,0.909,0.914,0.9335,0.85,0.9245
0.30581,0.899,0.909,0.914,0.9335,0.85,0.9245
0.30657,0.8985,0.909,0.914,0.9335,0.85,0.9245
0.30772,0.8985,0.909,0.914,0.9335,0.85,0.9245
0.30887,0.8985,0.909,0.914,0.9335,0.85,0.9245
0.30963,0.898,0.909,0.914,0.9335,0.85,0.9245
0.31078,0.898,0.909,0.914,0.9335,0.85,0.9245
0.31193,0.898,0.909,0.914,0.9335,0.85,0.9245
0.31269,0.8975,0.9085,0.914,0.9335,0.85,0.9245
0.31384,0.8975,0.9085,0.914,0.9335,0.85,0.9245
0.31498,0.8975,0.9085,0.914,0.9335,0.85,0.9245
0.31575,0.8975,0.9085,0.914,0.9335,0.85,0.9245
0.3169,0.897,0.9085,0.914,0.9335,0.85,0.9245
0.31804,0.897,0.9085,0.914,0.9335,0.85,0.9245
0.31881,0.8965,0.9085,0.914,0.9335,0.85,0.9245
0.31995,0.8965,0.9085,0.914,0.9335,0.85,0.9245
0.3211,0.896,0.9085,0.914,0.9335,0.85,0.9245
0.32225,0.896,0.9085,0.914,0.9335,0.85,0.9245
