Prop_lost,Felidae,Ursidae,Ailuridae,Canidae,Mustelidae,Viverridae,Otaridaee,Herpestidae,Procyonidae,Mephitidae,Hyaenidae,Eupleridae,Phocidae,Nandiniidae,Obobenidae,Prionodontidae,Dasyuridae,Myrmecobidae
0.08907,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08983,0.894,0.892,0.934,0.897,0.8235,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.0906,0.894,0.892,0.934,0.897,0.823,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09136,0.894,0.892,0.934,0.897,0.822,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09213,0.894,0.892,0.934,0.897,0.8215,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09289,0.894,0.892,0.934,0.897,0.8205,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09365,0.894,0.892,0.934,0.897,0.82,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09442,0.894,0.892,0.934,0.897,0.819,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.0948,0.894,0.892,0.934,0.897,0.818,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09557,0.894,0.892,0.934,0.897,0.817,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09633,0.894,0.892,0.934,0.897,0.816,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09709,0.894,0.892,0.934,0.897,0.816,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09786,0.894,0.892,0.934,0.897,0.816,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09862,0.894,0.892,0.934,0.897,0.816,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.09977,0.894,0.892,0.934,0.897,0.816,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10092,0.894,0.892,0.934,0.897,0.816,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10168,0.894,0.892,0.934,0.894,0.816,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10283,0.894,0.892,0.934,0.8895,0.816,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10359,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10474,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.1055,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10665,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10742,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10818,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10894,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.10971,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11086,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11162,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11239,0.894,0.892,0.934,0.8855,0.8155,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11315,0.894,0.892,0.934,0.8855,0.815,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11391,0.894,0.892,0.934,0.8855,0.815,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11468,0.894,0.892,0.934,0.8855,0.815,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11544,0.894,0.892,0.934,0.8855,0.815,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11621,0.894,0.892,0.934,0.8855,0.8145,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11697,0.894,0.892,0.934,0.8855,0.814,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11812,0.894,0.892,0.934,0.8855,0.814,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11888,0.894,0.892,0.934,0.8855,0.8135,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.11965,0.894,0.892,0.934,0.8855,0.8135,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.12041,0.894,0.892,0.934,0.8855,0.813,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.12156,0.894,0.892,0.934,0.8855,0.813,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.12232,0.894,0.892,0.934,0.8855,0.813,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.12309,0.894,0.892,0.934,0.8855,0.813,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.12424,0.894,0.892,0.934,0.8855,0.813,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.125,0.894,0.892,0.934,0.8855,0.813,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.12576,0.894,0.892,0.934,0.8855,0.813,0.846,0.967,0.8995,0.923,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
