Prop_lost,median1,median2
0.45222,0.8435,0.8845
0.45336,0.8435,0.8845
0.45451,0.8435,0.884
0.45566,0.8435,0.884
0.4568,0.8435,0.8835
0.45795,0.8435,0.8835
0.45872,0.8435,0.8835
0.45986,0.8435,0.883
0.46101,0.8435,0.883
0.46216,0.8435,0.883
0.4633,0.8435,0.883
0.46445,0.8435,0.883
0.4656,0.8435,0.883
0.46674,0.8435,0.883
0.46789,0.8435,0.8825
0.46904,0.8435,0.8815
0.47018,0.8435,0.8805
0.47133,0.8435,0.88
0.47248,0.8435,0.88
0.47362,0.8435,0.8795
0.47477,0.8435,0.879
0.47592,0.8435,0.879
0.47706,0.8435,0.8785
0.47821,0.8435,0.878
0.47936,0.8435,0.8775
0.48012,0.8435,0.877
0.48127,0.8435,0.8765
0.48242,0.8435,0.876
0.48356,0.843,0.875
0.48471,0.8425,0.8735
0.48586,0.8415,0.8735
0.487,0.841,0.8735
0.48815,0.8405,0.8735
0.4893,0.839,0.8735
0.49044,0.8385,0.8735
0.49159,0.838,0.8735
0.49274,0.8375,0.8735
0.49388,0.837,0.8735
0.49503,0.836,0.8735
0.49618,0.8355,0.8735
0.49732,0.8345,0.8735
0.49847,0.834,0.8725
0.49962,0.8335,0.872
0.50076,0.8325,0.8705
0.50191,0.8315,0.8695
0.50306,0.8305,0.8685
0.5042,0.83,0.868
0.50535,0.829,0.8665
0.5065,0.828,0.866
0.50765,0.8275,0.865
0.50879,0.8265,0.864
0.50994,0.826,0.8635
0.51109,0.825,0.862
0.51223,0.824,0.861
0.51338,0.8225,0.859
0.51453,0.822,0.8575
0.51567,0.8215,0.8575
0.51682,0.8215,0.8565
0.51797,0.821,0.856
0.51911,0.8205,0.8555
0.52026,0.8195,0.8555
0.52141,0.818,0.855
0.52255,0.817,0.855
0.5237,0.8165,0.853
0.52485,0.816,0.8515
0.52599,0.8155,0.851
0.52714,0.815,0.851
0.52829,0.815,0.85
0.52943,0.8145,0.8495
0.53058,0.814,0.849
0.53211,0.813,0.847
0.53326,0.8125,0.847
0.5344,0.811,0.847
0.53555,0.8095,0.847
0.5367,0.8085,0.847
0.53784,0.8075,0.847
0.53899,0.806,0.847
0.54014,0.8045,0.846
0.54128,0.8025,0.8455
0.54243,0.8005,0.845
