"pr_rem";"group";"variant";"value"
92.513;"amphibians";"global2000";100
92.461;"amphibians";"global2000";100
92.418;"amphibians";"global2000";100
92.367;"amphibians";"global2000";100
92.319;"amphibians";"global2000";100
92.269;"amphibians";"global2000";100
92.216;"amphibians";"global2000";100
92.169;"amphibians";"global2000";100
92.118;"amphibians";"global2000";100
92.072;"amphibians";"global2000";100
92.023;"amphibians";"global2000";100
91.975;"amphibians";"global2000";100
91.926;"amphibians";"global2000";100
91.879;"amphibians";"global2000";100
91.831;"amphibians";"global2000";100
91.782;"amphibians";"global2000";100
91.735;"amphibians";"global2000";100
91.685;"amphibians";"global2000";100
91.636;"amphibians";"global2000";100
91.587;"amphibians";"global2000";100
91.541;"amphibians";"global2000";100
91.494;"amphibians";"global2000";100
91.446;"amphibians";"global2000";100
91.399;"amphibians";"global2000";100
91.355;"amphibians";"global2000";100
91.31;"amphibians";"global2000";100
91.267;"amphibians";"global2000";100
91.225;"amphibians";"global2000";100
91.182;"amphibians";"global2000";100
91.138;"amphibians";"global2000";100
91.098;"amphibians";"global2000";100
91.056;"amphibians";"global2000";100
91.015;"amphibians";"global2000";100
90.971;"amphibians";"global2000";100
90.93;"amphibians";"global2000";100
90.895;"amphibians";"global2000";100
90.855;"amphibians";"global2000";100
90.806;"amphibians";"global2000";100
90.758;"amphibians";"global2000";100
90.702;"amphibians";"global2000";100
90.658;"amphibians";"global2000";100
90.581;"amphibians";"global2000";100
90.44;"amphibians";"global2000";100
90.324;"amphibians";"global2000";99.9996919455505
90.218;"amphibians";"global2000";99.9996341853413
90.117;"amphibians";"global2000";99.999576425132
90.034;"amphibians";"global2000";99.9994801581166
89.965;"amphibians";"global2000";99.9994801581166
89.873;"amphibians";"global2000";99.9994223979074
89.786;"amphibians";"global2000";99.9993646376981
89.684;"amphibians";"global2000";99.9992876240857
89.578;"amphibians";"global2000";99.9991913570703
89.478;"amphibians";"global2000";99.9989603162332
89.377;"amphibians";"global2000";99.9988447958147
89.267;"amphibians";"global2000";99.9987100219931
89.166;"amphibians";"global2000";99.9986137549776
89.076;"amphibians";"global2000";99.9983442073345
88.986;"amphibians";"global2000";99.9982094335129
88.891;"amphibians";"global2000";99.9980746596912
88.794;"amphibians";"global2000";99.9978628722573
88.707;"amphibians";"global2000";99.9977280984357
88.617;"amphibians";"global2000";99.9975163110017
88.522;"amphibians";"global2000";99.9972082565523
88.428;"amphibians";"global2000";99.9968809486999
88.329;"amphibians";"global2000";99.9966691612658
88.229;"amphibians";"global2000";99.9964381204288
88.137;"amphibians";"global2000";99.996245586398
88.045;"amphibians";"global2000";99.9960145455609
87.953;"amphibians";"global2000";99.9957064911115
87.858;"amphibians";"global2000";99.9954176900652
87.756;"amphibians";"global2000";99.9950133686004
87.66;"amphibians";"global2000";99.9947438209571
87.568;"amphibians";"global2000";99.9945320335232
87.473;"amphibians";"global2000";99.9941469654615
87.38;"amphibians";"global2000";99.9938774178182
87.28;"amphibians";"global2000";99.9934923497564
87.174;"amphibians";"global2000";99.9930495214854
87.063;"amphibians";"global2000";99.9926452000206
86.943;"amphibians";"global2000";99.9922601319589
86.794;"amphibians";"global2000";99.9921253581374
86.638;"amphibians";"global2000";99.9920290911219
86.528;"amphibians";"global2000";99.9916825298662
86.434;"amphibians";"global2000";99.9911434345798
86.331;"amphibians";"global2000";99.9904503120687
86.243;"amphibians";"global2000";99.9899497235885
86.148;"amphibians";"global2000";99.9893336146896
86.047;"amphibians";"global2000";99.988505718357
85.944;"amphibians";"global2000";99.9878125958457
85.836;"amphibians";"global2000";99.9870424597223
85.733;"amphibians";"global2000";99.9863300838081
85.621;"amphibians";"global2000";99.9855792010877
85.51;"amphibians";"global2000";99.9848668251734
85.401;"amphibians";"global2000";99.9840196754376
85.287;"amphibians";"global2000";99.9833072995234
85.178;"amphibians";"global2000";99.9824023895783
85.068;"amphibians";"global2000";99.9815167330363
84.956;"amphibians";"global2000";99.980785103719
84.845;"amphibians";"global2000";99.9798416869678
84.735;"amphibians";"global2000";99.9790522974411
84.622;"amphibians";"global2000";99.9778200796435
84.511;"amphibians";"global2000";99.9769921833108
84.399;"amphibians";"global2000";99.9762220471874
84.289;"amphibians";"global2000";99.9753941508546
84.183;"amphibians";"global2000";99.9746432681342
84.08;"amphibians";"global2000";99.9739116388168
83.97;"amphibians";"global2000";99.9731992629027
83.862;"amphibians";"global2000";99.9722943529575
83.761;"amphibians";"global2000";99.9715819770434
83.648;"amphibians";"global2000";99.9706770670982
83.535;"amphibians";"global2000";99.96975290375
83.427;"amphibians";"global2000";99.968867247208
83.327;"amphibians";"global2000";99.9680778576815
83.227;"amphibians";"global2000";99.9670574273178
83.118;"amphibians";"global2000";99.9658829697295
83.011;"amphibians";"global2000";99.9650550733968
82.904;"amphibians";"global2000";99.9640731498393
82.792;"amphibians";"global2000";99.9626869048171
82.683;"amphibians";"global2000";99.9618205016781
82.577;"amphibians";"global2000";99.9606267906868
82.466;"amphibians";"global2000";99.9596063603231
82.354;"amphibians";"global2000";99.9582971289132
82.237;"amphibians";"global2000";99.9572189383403
82.124;"amphibians";"global2000";99.9562177613798
81.999;"amphibians";"global2000";99.9550818105977
81.878;"amphibians";"global2000";99.9540036200248
81.763;"amphibians";"global2000";99.9530024430643
81.652;"amphibians";"global2000";99.9517509718635
81.537;"amphibians";"global2000";99.9506535278876
81.424;"amphibians";"global2000";99.9494790702993
81.317;"amphibians";"global2000";99.9484201331295
81.209;"amphibians";"global2000";99.9473419425566
81.101;"amphibians";"global2000";99.9461289781622
80.992;"amphibians";"global2000";99.945204814814
80.885;"amphibians";"global2000";99.9443576650781
80.778;"amphibians";"global2000";99.9435105153423
80.676;"amphibians";"global2000";99.9422975509478
80.579;"amphibians";"global2000";99.9413541341965
80.474;"amphibians";"global2000";99.9399293823681
80.372;"amphibians";"global2000";99.9385238839427
80.267;"amphibians";"global2000";99.9374264399668
80.166;"amphibians";"global2000";99.936367502797
80.059;"amphibians";"global2000";99.9351930452086
79.945;"amphibians";"global2000";99.9340185876203
79.837;"amphibians";"global2000";99.9331329310783
79.726;"amphibians";"global2000";99.9321510075209
79.613;"amphibians";"global2000";99.9309765499326
79.506;"amphibians";"global2000";99.9299176127628
79.394;"amphibians";"global2000";99.9284928609343
79.278;"amphibians";"global2000";99.9269333352842
79.171;"amphibians";"global2000";99.9255855970682
79.063;"amphibians";"global2000";99.9244303928829
78.958;"amphibians";"global2000";99.9231404148761
78.856;"amphibians";"global2000";99.9220237174971
78.755;"amphibians";"global2000";99.9207337394903
78.653;"amphibians";"global2000";99.9194822682896
78.549;"amphibians";"global2000";99.9176917018024
78.439;"amphibians";"global2000";99.9162862033771
78.332;"amphibians";"global2000";99.9147844379363
78.222;"amphibians";"global2000";99.9133211793017
78.11;"amphibians";"global2000";99.9119156808763
77.994;"amphibians";"global2000";99.909855566746
77.88;"amphibians";"global2000";99.9075836651817
77.77;"amphibians";"global2000";99.9055235510514
77.656;"amphibians";"global2000";99.9034634369211
77.545;"amphibians";"global2000";99.901461083
77.434;"amphibians";"global2000";99.8991314212265
77.316;"amphibians";"global2000";99.8967247458406
77.205;"amphibians";"global2000";99.8946261249041
77.089;"amphibians";"global2000";99.8918728882626
76.978;"amphibians";"global2000";99.8896587469077
76.866;"amphibians";"global2000";99.8871750579094
76.753;"amphibians";"global2000";99.884864649539
76.638;"amphibians";"global2000";99.8821306663006
76.527;"amphibians";"global2000";99.8794929500776
76.412;"amphibians";"global2000";99.8768359804516
76.299;"amphibians";"global2000";99.8743137846472
76.187;"amphibians";"global2000";99.8716568150212
76.072;"amphibians";"global2000";99.8690383522013
75.963;"amphibians";"global2000";99.8664969029937
75.849;"amphibians";"global2000";99.8645908160881
75.734;"amphibians";"global2000";99.8625114485548
75.62;"amphibians";"global2000";99.8600470129596
75.502;"amphibians";"global2000";99.8577366045891
75.383;"amphibians";"global2000";99.8555802234434
75.269;"amphibians";"global2000";99.8526537061741
75.159;"amphibians";"global2000";99.8505935920438
75.045;"amphibians";"global2000";99.8479558758208
74.925;"amphibians";"global2000";99.8449523449393
74.809;"amphibians";"global2000";99.8429884978244
74.695;"amphibians";"global2000";99.8407743564694
74.582;"amphibians";"global2000";99.8388490161607
74.465;"amphibians";"global2000";99.8360187659068
74.357;"amphibians";"global2000";99.8338623847611
74.243;"amphibians";"global2000";99.8315134695844
74.131;"amphibians";"global2000";99.8291645544078
74.018;"amphibians";"global2000";99.8267386256189
73.903;"amphibians";"global2000";99.8242164298144
73.791;"amphibians";"global2000";99.8220407952656
73.677;"amphibians";"global2000";99.8202309753754
73.557;"amphibians";"global2000";99.8182093680512
73.443;"amphibians";"global2000";99.815937466487
73.327;"amphibians";"global2000";99.8138966057597
73.215;"amphibians";"global2000";99.8113359031492
73.093;"amphibians";"global2000";99.8064647921681
72.978;"amphibians";"global2000";99.8041928906038
72.857;"amphibians";"global2000";99.8011123461099
72.739;"amphibians";"global2000";99.7978777743913
72.622;"amphibians";"global2000";99.7949705105252
72.505;"amphibians";"global2000";99.7915819115817
72.386;"amphibians";"global2000";99.7884821136847
72.269;"amphibians";"global2000";99.785882904268
72.148;"amphibians";"global2000";99.7823980383092
72.032;"amphibians";"global2000";99.779914349311
71.912;"amphibians";"global2000";99.776833804817
71.795;"amphibians";"global2000";99.7733104320521
71.679;"amphibians";"global2000";99.7708074896508
71.559;"amphibians";"global2000";99.7668027818086
71.444;"amphibians";"global2000";99.7640880519733
71.327;"amphibians";"global2000";99.760256624759
71.209;"amphibians";"global2000";99.7569450394281
71.087;"amphibians";"global2000";99.752978838392
70.967;"amphibians";"global2000";99.7493206918056
70.853;"amphibians";"global2000";99.7464904415517
70.732;"amphibians";"global2000";99.7426590143374
70.617;"amphibians";"global2000";99.7393474290064
70.5;"amphibians";"global2000";99.7343607976068
70.381;"amphibians";"global2000";99.7304908635863
70.261;"amphibians";"global2000";99.7265054091474
70.141;"amphibians";"global2000";99.7224044342898
70.025;"amphibians";"global2000";99.7185345002691
69.909;"amphibians";"global2000";99.7140869641561
69.793;"amphibians";"global2000";99.709658681446
69.676;"amphibians";"global2000";99.7055577065884
69.562;"amphibians";"global2000";99.7012256908939
69.44;"amphibians";"global2000";99.6965086071375
69.321;"amphibians";"global2000";99.6905593055836
69.201;"amphibians";"global2000";99.6851876061223
69.08;"amphibians";"global2000";99.6801432145135
68.963;"amphibians";"global2000";99.6753298637417
68.844;"amphibians";"global2000";99.6695730962186
68.726;"amphibians";"global2000";99.6640666229358
68.608;"amphibians";"global2000";99.6574627056769
68.494;"amphibians";"global2000";99.6529574093544
68.373;"amphibians";"global2000";99.6468540805759
68.255;"amphibians";"global2000";99.6416171549361
68.136;"amphibians";"global2000";99.6358218806069
68.021;"amphibians";"global2000";99.6307389821918
67.9;"amphibians";"global2000";99.623692236662
67.784;"amphibians";"global2000";99.6181472565729
67.67;"amphibians";"global2000";99.613083611561
67.546;"amphibians";"global2000";99.6059213456126
67.416;"amphibians";"global2000";99.5964486712938
67.296;"amphibians";"global2000";99.5894404325699
67.173;"amphibians";"global2000";99.581931605366
67.048;"amphibians";"global2000";99.5749041132392
66.928;"amphibians";"global2000";99.5674530462445
66.81;"amphibians";"global2000";99.5618503059462
66.693;"amphibians";"global2000";99.5547650536101
66.575;"amphibians";"global2000";99.5472947332123
66.461;"amphibians";"global2000";99.5404790285194
66.336;"amphibians";"global2000";99.5321037981766
66.223;"amphibians";"global2000";99.5246527311818
66.096;"amphibians";"global2000";99.5157576589556
65.978;"amphibians";"global2000";99.5078445102868
65.852;"amphibians";"global2000";99.5007785113538
65.731;"amphibians";"global2000";99.4935392317931
65.605;"amphibians";"global2000";99.4842013312958
65.482;"amphibians";"global2000";99.4749596978139
65.356;"amphibians";"global2000";99.4649864350148
65.236;"amphibians";"global2000";99.4555715209052
65.109;"amphibians";"global2000";99.4463683942296
64.987;"amphibians";"global2000";99.4353939544698
64.867;"amphibians";"global2000";99.4273075251733
64.746;"amphibians";"global2000";99.4192403492797
64.628;"amphibians";"global2000";99.4110191461615
64.502;"amphibians";"global2000";99.4010266299593
64.379;"amphibians";"global2000";99.38924354727
64.253;"amphibians";"global2000";99.3807913033148
64.129;"amphibians";"global2000";99.3719539912978
64.004;"amphibians";"global2000";99.3595355463066
63.879;"amphibians";"global2000";99.3490424416241
63.75;"amphibians";"global2000";99.3369320510823
63.624;"amphibians";"global2000";99.3278829516313
63.506;"amphibians";"global2000";99.3200083097687
63.38;"amphibians";"global2000";99.3095537118924
63.254;"amphibians";"global2000";99.2954602208327
63.128;"amphibians";"global2000";99.2848515957316
63.004;"amphibians";"global2000";99.273434327701
62.878;"amphibians";"global2000";99.2615549779962
62.745;"amphibians";"global2000";99.2484434104939
62.614;"amphibians";"global2000";99.2338685843569
62.485;"amphibians";"global2000";99.2229519048065
62.362;"amphibians";"global2000";99.2124780535271
62.237;"amphibians";"global2000";99.1995782734587
62.11;"amphibians";"global2000";99.1871598284674
61.978;"amphibians";"global2000";99.1715453185639
61.845;"amphibians";"global2000";99.1572785468763
61.725;"amphibians";"global2000";99.1458997856517
61.595;"amphibians";"global2000";99.1318448013982
61.472;"amphibians";"global2000";99.1182904056248
61.344;"amphibians";"global2000";99.1055253993781
61.214;"amphibians";"global2000";99.0920480172171
61.088;"amphibians";"global2000";99.0768185753752
60.961;"amphibians";"global2000";99.0631486591833
60.838;"amphibians";"global2000";99.0509420016261
60.713;"amphibians";"global2000";99.0376956603021
60.58;"amphibians";"global2000";99.0236599294516
60.453;"amphibians";"global2000";99.0100862802752
60.323;"amphibians";"global2000";98.9971287399975
60.192;"amphibians";"global2000";98.9797044102037
60.064;"amphibians";"global2000";98.965418385113
59.933;"amphibians";"global2000";98.9519795097582
59.8;"amphibians";"global2000";98.9341701119027
59.672;"amphibians";"global2000";98.9210777978034
59.546;"amphibians";"global2000";98.9059446229769
59.423;"amphibians";"global2000";98.8928523088777
59.287;"amphibians";"global2000";98.8747348565727
59.157;"amphibians";"global2000";98.8596209351493
59.025;"amphibians";"global2000";98.8442952262919
58.905;"amphibians";"global2000";98.8302787488444
58.777;"amphibians";"global2000";98.8162815248001
58.644;"amphibians";"global2000";98.7989727154249
58.513;"amphibians";"global2000";98.7829731374595
58.38;"amphibians";"global2000";98.7682635375008
58.25;"amphibians";"global2000";98.7532073762867
58.115;"amphibians";"global2000";98.7353402182218
57.988;"amphibians";"global2000";98.7198219753336
57.853;"amphibians";"global2000";98.7016467628194
57.714;"amphibians";"global2000";98.679678629897
57.58;"amphibians";"global2000";98.6644876948612
57.458;"amphibians";"global2000";98.6513568739558
57.324;"amphibians";"global2000";98.6337785169373
57.196;"amphibians";"global2000";98.6189341431571
57.061;"amphibians";"global2000";98.5995459662483
56.928;"amphibians";"global2000";98.5818328354082
56.797;"amphibians";"global2000";98.564543279436
56.665;"amphibians";"global2000";98.5481008731995
56.531;"amphibians";"global2000";98.5280388271828
56.395;"amphibians";"global2000";98.509536306816
56.261;"amphibians";"global2000";98.4913418408987
56.13;"amphibians";"global2000";98.4723002252455
55.994;"amphibians";"global2000";98.4538939718942
55.859;"amphibians";"global2000";98.4345250483886
55.727;"amphibians";"global2000";98.4152138850921
55.593;"amphibians";"global2000";98.3939388746809
55.459;"amphibians";"global2000";98.3750512862525
55.32;"amphibians";"global2000";98.3539110496628
55.183;"amphibians";"global2000";98.3321547041743
55.045;"amphibians";"global2000";98.3079531764937
54.907;"amphibians";"global2000";98.2841944770843
54.774;"amphibians";"global2000";98.2635355755718
54.638;"amphibians";"global2000";98.2420295243234
54.501;"amphibians";"global2000";98.2227761212363
54.365;"amphibians";"global2000";98.2001533726089
54.235;"amphibians";"global2000";98.1818626396762
54.095;"amphibians";"global2000";98.1597982397383
53.957;"amphibians";"global2000";98.1379071204282
53.823;"amphibians";"global2000";98.1159967477151
53.688;"amphibians";"global2000";98.0931814650568
53.555;"amphibians";"global2000";98.0719449614517
53.422;"amphibians";"global2000";98.05122829973
53.285;"amphibians";"global2000";98.0291831531953
53.149;"amphibians";"global2000";98.0075230747222
53.01;"amphibians";"global2000";97.9860747836832
52.871;"amphibians";"global2000";97.961738482181
52.734;"amphibians";"global2000";97.9374791942913
52.597;"amphibians";"global2000";97.912469023681
52.461;"amphibians";"global2000";97.8850906844911
52.321;"amphibians";"global2000";97.8624871892669
52.183;"amphibians";"global2000";97.8381316343616
52.046;"amphibians";"global2000";97.8139301066811
51.91;"amphibians";"global2000";97.7889776962802
51.769;"amphibians";"global2000";97.7612720492379
51.634;"amphibians";"global2000";97.7360308377906
51.499;"amphibians";"global2000";97.7110206671805
51.357;"amphibians";"global2000";97.6843161970986
51.214;"amphibians";"global2000";97.654357901895
51.074;"amphibians";"global2000";97.6243610998853
50.942;"amphibians";"global2000";97.5970982811139
50.797;"amphibians";"global2000";97.5642519754472
50.659;"amphibians";"global2000";97.5371624373037
50.519;"amphibians";"global2000";97.504104344203
50.379;"amphibians";"global2000";97.475359013394
50.238;"amphibians";"global2000";97.4412804899297
50.099;"amphibians";"global2000";97.4113029413231
49.962;"amphibians";"global2000";97.3835587874745
49.828;"amphibians";"global2000";97.3546016692315
49.69;"amphibians";"global2000";97.3271848232354
49.549;"amphibians";"global2000";97.2979581573492
49.408;"amphibians";"global2000";97.2700984830821
49.27;"amphibians";"global2000";97.2408910705989
49.128;"amphibians";"global2000";97.2075249230489
48.986;"amphibians";"global2000";97.1749674184286
48.85;"amphibians";"global2000";97.1439694394583
48.708;"amphibians";"global2000";97.1123360981861
48.569;"amphibians";"global2000";97.0805487296893
48.423;"amphibians";"global2000";97.04138730781
48.283;"amphibians";"global2000";97.0028805016358
48.142;"amphibians";"global2000";96.9707465718834
48;"amphibians";"global2000";96.9341651060178
47.862;"amphibians";"global2000";96.9033019008691
47.717;"amphibians";"global2000";96.8616952967979
47.577;"amphibians";"global2000";96.8276167733337
47.436;"amphibians";"global2000";96.7907079996157
47.302;"amphibians";"global2000";96.7571108112286
47.163;"amphibians";"global2000";96.7258240312121
47.02;"amphibians";"global2000";96.6886649632538
46.879;"amphibians";"global2000";96.6535082492168
46.737;"amphibians";"global2000";96.6123059666103
46.597;"amphibians";"global2000";96.578208189743
46.457;"amphibians";"global2000";96.542627900838
46.315;"amphibians";"global2000";96.5066432904681
46.175;"amphibians";"global2000";96.4704276392612
